ITEM LIST,,,,,,,,,,,,,,
RICE,,,,,,,,,,,,,,
Date,14-03-2026,,,,,,,,,,,,,
SL,Item Code,Barcode,DM Barcode,HS Code,Item Name,Brand,Blend,Grain Type,Variant,Process Type,COO,Unit,,
38,1-RH1-01B-0057,N/A,,N/A,Rice - Afghan Do Talwar Sella 1121 - 1x24.5 Kg,Super Kernal,100%,Basmati,1121,Sella,India,24.5,,
39,1-RH1-01B-0056,2800014654057,,10063012,Rice - Goldasteh Long Grain Sella Rice 1718 - 10 Kg,Goldasteh,100%,Basmati,1718,Sella,India,10,,
40,1-RH1-01A-0059,6298042350199,,N/A,Rice - Trust Food Palakkadan Matta Rice 5 Kg,Trust Food,100%,Non Basmati,Matta,Parboiled,India,5,,
41,1-RH1-01A-0061,6298042350175,,N/A,Rice - Trust Food Palakkadan Matta Rice 2 Kg,Trust Food,100%,Non Basmati,Matta,Parboiled,India,2,,
42,1-RH1-01B-0054,N/A,,N/A,Rice - Palakkadan Matta - 1x18kg,Trust Food,100%,Non Basmati,Matta,Parboiled,India,18,,
43,1-RH1-01A-0057,6298042350212,,N/A,Rice - Trust Food Indian Sona Masoori Steam Rice 18 Kg,Trust Food,100%,Non Basmati,Sona Masoori,Steam,India,18,,
44,1-RH1-01A-0058,6298042350205,,N/A,Rice - Trust Food Indian Sona Masoori Steam Rice 5 Kg,Trust Food,100%,Non Basmati,Sona Masoori,Steam,India,5,,
45,1-RH1-01A-0060,6298042350182,,N/A,Rice - Trust Food Indian Sona Masoori Steam Rice 2 Kg,Trust Food,100%,Non Basmati,Sona Masoori,Steam,India,2,,
46,1-RH1-01B-0053,N/A,,N/A,Rice - IR 64 Parboiled Rice 25 Kg,Trust Food,100%,Non Basmati,IR64,Parboiled,India,25,,
47,1-RH1-01B-0037,N/A,,N/A,Rice - IR 64  - 50 Kg ,Trust Food,100%,Non Basmati,IR64,Parboiled,India,50,,
48,1-RH1-01B-0034,N/A,,N/A,Rice - AL MASAH BASMATI RICE (BAG/1X20 KG),Al Masah,50/50,Non Basmati,1509,Steam,India,20,,
49,1-RH1-01B-0040,N/A,,N/A,White Rice - 5 Kg,Trust Food,100%,Non Basmati,White Rice,Parboiled,India,5,,
50,1-RH1-01A-0080,8796645677777,,1006:3010,Rice - Sanam Al watan Creamy Classic Premium - 40 Kg,Sanam Al Watan,100%,Basmati,1121,Sella,Pakistan,40,,
51,1-RH1-01B-0064,N/A,,N/A,Rice - Zia Sella 1121 - 1x24.5 Kg,Zia,100%,Basmati,1121,Sella,India,24.5,,
52,1-RH1-01B-0065,2800014645864,,10063012,Rice - Mehramiz Long Grain Sella Rice 1718 - 1x10 Kg,Mehramiz,100%,Basmati,1718,Sella,India,10,,
